区分,一般名コード,一般名処方の標準的な記載,成分名,規格,一般名処方加算対象,例外コード,同一剤形・規格内の最低薬価,備考,薬価基準収載医薬品コード_例外コード,品名_例外コード,備考_例外コード
内用薬,2160003F1ZZZ,【般】スマトリプタン錠５０ｍｇ,スマトリプタンコハク酸塩,５０ｍｇ１錠,"加算1,2",,94.6,,,,
内用薬,2160003S1ZZZ,【般】スマトリプタン経口液５０ｍｇ２ｍＬ,スマトリプタンコハク酸塩,５０ｍｇ２ｍＬ１包,加算1,,407.5,,,,
内用薬,2160004F1ZZZ,【般】ゾルミトリプタン錠２．５ｍｇ,ゾルミトリプタン,２．５ｍｇ１錠,"加算1,2",,122.9,,,,
内用薬,2160004F2ZZZ,【般】ゾルミトリプタン口腔内崩壊錠２．５ｍｇ,ゾルミトリプタン,２．５ｍｇ１錠,"加算1,2",,122.9,,,,
内用薬,2160005F1ZZZ,【般】エレトリプタン錠２０ｍｇ,エレトリプタン臭化水素酸塩,２０ｍｇ１錠,"加算1,2",,119.4,,,,
内用薬,2160006F1ZZZ,【般】リザトリプタン錠１０ｍｇ,リザトリプタン安息香酸塩,１０ｍｇ１錠,"加算1,2",,71,,,,
内用薬,2160006F2ZZZ,【般】リザトリプタン口腔内崩壊錠１０ｍｇ,リザトリプタン安息香酸塩,１０ｍｇ１錠,"加算1,2",,71,,,,
内用薬,2160007F1ZZZ,【般】ナラトリプタン錠２．５ｍｇ,ナラトリプタン塩酸塩,２．５ｍｇ１錠,"加算1,2",,159.7,,,,
内用薬,2171005F1ZZZ,【般】ジラゼプ塩酸塩錠５０ｍｇ,ジラゼプ塩酸塩水和物,５０ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,2171005F2ZZZ,【般】ジラゼプ塩酸塩錠１００ｍｇ,ジラゼプ塩酸塩水和物,１００ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,2171006F1ZZZ,【般】ジルチアゼム塩酸塩錠３０ｍｇ,ジルチアゼム塩酸塩,３０ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,2171006F2ZZZ,【般】ジルチアゼム塩酸塩錠６０ｍｇ,ジルチアゼム塩酸塩,６０ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,2171006N1ZZZ,【般】ジルチアゼム塩酸塩徐放カプセル１００ｍｇ,ジルチアゼム塩酸塩,１００ｍｇ１カプセル,"加算1,2",,10.4,,,,
内用薬,2171006N2ZZZ,【般】ジルチアゼム塩酸塩徐放カプセル２００ｍｇ,ジルチアゼム塩酸塩,２００ｍｇ１カプセル,"加算1,2",,17.6,,,,
内用薬,2171008F1ZZZ,【般】ベラパミル塩酸塩錠４０ｍｇ,ベラパミル塩酸塩,４０ｍｇ１錠,"加算1,2",,6.6,,,,
内用薬,2171010B1ZZZ,【般】ジピリダモール散１２．５％,ジピリダモール,１２．５％１ｇ,加算1,,16.2,,,,
内用薬,2171010F1ZZZ,【般】ジピリダモール錠１２．５ｍｇ,ジピリダモール,１２．５ｍｇ１錠,"加算1,2",,6,,,,
内用薬,2171010F2ZZZ,【般】ジピリダモール錠２５ｍｇ,ジピリダモール,２５ｍｇ１錠,"加算1,2",,6,,,,
内用薬,2171010F3ZZZ,【般】ジピリダモール錠１００ｍｇ,ジピリダモール,１００ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,2171011G1ZZZ,【般】硝酸イソソルビド徐放錠２０ｍｇ,硝酸イソソルビド,２０ｍｇ１錠,"加算1,2",,6.1,該当する先発品の経過措置期限が令和８年３月３１日であることから、同年４月１日以降は一般名処方加算対象が１のみとなる予定,,,
内用薬,2171011N1ZZZ,【般】硝酸イソソルビド徐放カプセル２０ｍｇ,硝酸イソソルビド,２０ｍｇ１カプセル,"加算1,2",,6.1,,,,
内用薬,2171012F1ZZZ,【般】トラピジル錠５０ｍｇ,トラピジル,５０ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,2171012F2ZZZ,【般】トラピジル錠１００ｍｇ,トラピジル,１００ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,2171014C1ZZZ,【般】ニフェジピン細粒１％,ニフェジピン,１％１ｇ,加算1,,7.7,,,,
内用薬,2171014F1ZZZ,【般】ニフェジピン錠１０ｍｇ,ニフェジピン,１０ｍｇ１錠,加算1,,6.1,,,,
内用薬,2171014G1ZZZ,【般】ニフェジピン徐放錠１０ｍｇ（１２時間持続）,ニフェジピン,１０ｍｇ１錠,加算1,,5.9,,,,
内用薬,2171014G2ZZZ,【般】ニフェジピン徐放錠２０ｍｇ（１２時間持続）,ニフェジピン,２０ｍｇ１錠,加算1,,6.1,,,,
内用薬,2171014G3ZZZ,【般】ニフェジピン徐放錠１０ｍｇ（２４時間持続）,ニフェジピン,１０ｍｇ１錠,"加算1,2",,6.1,先発品はアダラートＣＲ錠１０ｍｇ,,,
